date,temperature,precipitation
2019-04-28,17.6,0.0
2019-04-29,16.3,0.0
2019-04-30,15.8,0.0
2019-05-01,17.1,0.0
2019-05-02,18.1,0.0
2019-05-03,15.7,0.0
2019-05-04,14.5,0.0
2019-05-05,14.3,0.6
2019-05-06,16.2,0.0
2019-05-07,14.1,0.0
2019-05-08,12.4,0.0
2019-05-09,10.7,0.9
2019-05-10,11.2,0.0
2019-05-11,12.7,0.0
2019-05-12,13.9,0.0
2019-05-13,17.4,0.0
2019-05-14,18.4,0.0
2019-05-15,17.0,0.0
2019-05-16,12.6,0.0
2019-05-17,11.9,0.7
2019-05-18,12.7,1.6
2019-05-19,11.8,0.0
2019-05-20,8.5,0.0
2019-05-21,7.7,0.0
2019-05-22,9.8,0.0
2019-05-23,11.7,0.0
2019-05-24,16.3,0.0
2019-05-25,13.0,0.6
2019-05-26,10.6,1.1
2019-05-27,11.0,0.0
2019-05-28,12.2,0.0
2019-05-29,12.2,4.4
2019-05-30,11.6,1.5
2019-05-31,10.6,0.6
2019-06-01,10.5,0.0
2019-06-02,13.0,0.0
2019-06-03,15.1,0.0
2019-06-04,15.3,0.0
2019-06-05,12.5,0.0
2019-06-06,11.6,6.0
2019-06-07,9.3,0.0
2019-06-08,13.1,0.0
2019-06-09,12.2,0.0
2019-06-10,11.7,0.0
2019-06-11,11.3,2.3
2019-06-12,10.7,0.4
2019-06-13,8.2,19.5
2019-06-14,7.8,2.1
2019-06-15,8.3,5.6
2019-06-16,7.3,0.0
2019-06-17,7.2,1.2
2019-06-18,7.8,0.0
2019-06-19,13.4,0.0
2019-06-20,16.6,0.0
2019-06-21,10.3,0.0
2019-06-22,14.0,0.0
2019-06-23,11.0,0.0
2019-06-24,7.9,9.5
2019-06-25,4.9,0.0
2019-06-26,7.1,0.0
2019-06-27,8.5,0.0
2019-06-28,8.5,2.9
2019-06-29,8.3,14.9
2019-06-30,7.4,0.2
2019-07-01,9.1,0.0
2019-07-02,9.0,0.0
2019-07-03,9.7,0.0
2019-07-04,10.5,0.0
2019-07-05,14.3,0.0
2019-07-06,13.7,0.0
2019-07-07,10.1,0.2
2019-07-08,10.2,0.0
2019-07-09,10.7,0.1
2019-07-10,9.4,0.0
2019-07-11,9.1,0.0
2019-07-12,9.5,2.4
2019-07-13,9.1,0.0
